age,fnlwgt,education,education-num,occupation,relationship,sex,hours-per-week,income
39,77516,7881,13,5589,12281,31937,40,24720
50,83311,7881,13,6058,19396,31937,13,24720
38,215646,15444,9,2066,12281,31937,40,24720
53,234721,1746,7,2066,19396,31937,40,24720
28,338409,7881,13,6110,2253,15684,40,24720
37,284582,2610,14,6058,2253,15684,40,24720
49,160187,735,5,4891,12281,15684,16,24720
52,209642,15444,9,6058,19396,31937,45,7841
31,45781,2610,14,6110,12281,15684,50,7841
42,159449,7881,13,6058,19396,31937,40,7841
37,280464,10512,10,6058,19396,31937,80,7841
30,141297,7881,13,6110,19396,31937,40,7841
23,122272,7881,13,5589,7228,15684,30,24720
32,205019,1566,12,5474,12281,31937,50,24720
40,121772,2034,11,6089,19396,31937,40,7841
34,245487,912,4,2341,19396,31937,45,24720
25,176756,15444,9,1485,7228,31937,35,24720
32,186824,15444,9,3006,5022,31937,40,24720
38,28887,1746,7,5474,19396,31937,50,24720
43,292175,2610,14,6058,5022,15684,45,7841
40,193524,582,16,6110,19396,31937,60,7841
54,302146,15444,9,4891,5022,15684,20,24720
35,76845,735,5,1485,19396,31937,40,24720
43,117037,1746,7,2341,19396,31937,40,24720
59,109015,15444,9,1436,5022,15684,40,24720
56,216851,7881,13,1436,19396,31937,40,7841
19,168294,15444,9,6089,7228,31937,40,24720
54,180211,10512,10,1843,19396,31937,60,7841
39,367260,15444,9,6058,12281,31937,80,24720
49,193366,15444,9,6089,19396,31937,40,24720
23,190709,1566,12,981,12281,31937,52,24720
20,266015,10512,10,5474,7228,31937,44,24720
45,386940,7881,13,6058,7228,31937,40,24720
30,59951,10512,10,5589,7228,31937,40,24720
22,311512,10512,10,4891,19396,31937,15,24720
48,242406,1746,7,3006,5022,31937,40,24720
21,197200,10512,10,3006,7228,31937,40,24720
19,544091,15444,9,5589,2253,15684,25,24720
31,84154,10512,10,5474,19396,31937,38,7841
48,265477,1566,12,6110,19396,31937,40,24720
31,507875,735,5,3006,19396,31937,43,24720
53,88506,7881,13,6110,19396,31937,40,24720
24,172987,7881,13,1436,19396,31937,50,24720
49,94638,15444,9,5589,5022,15684,40,24720
25,289980,15444,9,2066,12281,31937,35,24720
57,337895,7881,13,6110,19396,31937,40,7841
53,144361,15444,9,3006,19396,31937,38,24720
44,128354,2610,14,6058,5022,15684,40,24720
41,101603,2034,11,6089,19396,31937,40,24720
29,271466,2034,11,6110,12281,31937,43,24720
25,32275,10512,10,6058,2253,15684,40,24720
18,226956,15444,9,4891,7228,15684,30,24720
47,51835,819,15,6110,2253,15684,60,7841
50,251585,7881,13,6058,12281,31937,55,7841
47,109832,15444,9,6058,12281,31937,60,24720
43,237993,10512,10,1436,19396,31937,40,7841
46,216666,494,3,3006,19396,31937,40,24720
35,56352,2034,11,4891,19396,31937,40,24720
41,147372,15444,9,5589,19396,31937,48,24720
30,188146,15444,9,3006,19396,31937,40,24720
30,59496,7881,13,5474,19396,31937,40,24720
32,293936,912,4,1843,12281,31937,40,24720
48,149640,15444,9,2341,19396,31937,40,24720
42,116632,582,16,6110,19396,31937,45,7841
29,105598,10512,10,1436,12281,31937,58,24720
36,155537,15444,9,6089,19396,31937,40,24720
28,183175,10512,10,5589,12281,15684,40,24720
53,169846,15444,9,5589,2253,15684,40,7841
